,count,unique,top,freq,mean,std,min,25%,50%,75%,max
RowNumber,10000.0,,,,5000.5,2886.8956799071675,1.0,2500.75,5000.5,7500.25,10000.0
CustomerId,10000.0,,,,15690940.5694,71936.1861227489,15565701.0,15628528.25,15690738.0,15753233.75,15815690.0
Surname,10000,2932,Smith,32,,,,,,,
CreditScore,10000.0,,,,650.5288,96.65329873613035,350.0,584.0,652.0,718.0,850.0
Geography,10000,3,France,5014,,,,,,,
Gender,10000,2,Male,5457,,,,,,,
Age,10000.0,,,,38.9218,10.487806451704609,18.0,32.0,37.0,44.0,92.0
Tenure,10000.0,,,,5.0128,2.8921743770496837,0.0,3.0,5.0,7.0,10.0
Balance,10000.0,,,,76485.889288,62397.405202385955,0.0,0.0,97198.54000000001,127644.24,250898.09
NumOfProducts,10000.0,,,,1.5302,0.5816543579989906,1.0,1.0,1.0,2.0,4.0
HasCrCard,10000.0,,,,0.7055,0.4558404644751333,0.0,0.0,1.0,1.0,1.0
IsActiveMember,10000.0,,,,0.5151,0.49979692845891893,0.0,0.0,1.0,1.0,1.0
EstimatedSalary,10000.0,,,,100090.239881,57510.49281769816,11.58,51002.11,100193.915,149388.2475,199992.48
Exited,10000.0,,,,0.2037,0.4027685839948609,0.0,0.0,0.0,0.0,1.0
